,ID,START_DATE,END_DATE,TIMER_total,SYMBOL,EVALUATION_01,EVALUATION_02,EVALUATION_index,SATISFACTION,TRUST,OUTAGE_q01,OUTAGE_q02,OUTAGE_q03,OUTAGE_01,OUTAGE_02,OUTAGE_03,OUTAGE_long,AREA,CITY,CITY_short,GOV_EVALUATION,GOV_SATISFACTION,GOV_TRUST,GOV_ATTITUDES,INTEREST,GENDER,AGE,EDUCATION,INCOME,HOUSE,IDEOLOGY,IEC_ATTITUDES_first,IEC_ATTITUDES_second,IEC_ATTITUDES_third,IEC_ATTITUDES_fourth,MEKOROT_recognize,IROADS_recognize,EAPC_recognize,NTA_recognize,IEC_symbol_recognize,IEC_work,IEC_work_relative,IEC_work_01,IEC_debt,SYMBOL_not_recognize,TIMER_total_filter,IMC,MISSING,GUESS_filter
17,17,14/12/2015 14:25,14/12/2015 14:29,4,2,1,3,2,3,1,1,0,2,0,0,0.166666667,0,SHARON,HOD HASHARON,HDS,0.333333333,0.333333333,0.333333333,0.333333333,0.75,0,28,0.857142857,0.75,0,0.6,EVALUATION_02,TRUST,SATISFACTION,EVALUATION_01,1,1,0,0,1,0,0,0,0,0,0,1,0,0
18,18,14/12/2015 14:24,14/12/2015 14:29,5,1,6,7,6.5,7,6,1,0,2,0,0,0.166666667,0,OTHER,HAIFA,OTHER,0.333333333,0.333333333,0.166666667,0.277777778,1,1,48,1,0,1,0,SATISFACTION,EVALUATION_02,EVALUATION_01,TRUST,1,1,0,0,0,0,0,0,0,0,0,1,0,0
19,19,14/12/2015 14:25,14/12/2015 14:30,5,2,4,3,3.5,3,2,2,1,3,1,0.5,0.5,0,SHARON,HOD HASHARON,HDS,0.166666667,0.166666667,0.166666667,0.166666667,0,1,23,0.428571429,0.5,0,0.5,EVALUATION_01,EVALUATION_02,TRUST,SATISFACTION,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20,20,14/12/2015 14:24,14/12/2015 14:30,6,2,8,9,8.5,8,9,3,1,3,1,0.5,0.666666667,0,SHARON,RAMAT HASHARON,RSR,0.666666667,0.666666667,0.666666667,0.666666667,0.75,1,29,0.428571429,0,0,0.2,EVALUATION_01,TRUST,EVALUATION_02,SATISFACTION,0,1,0,0,1,0,1,1,0,0,0,0,0,0
21,21,14/12/2015 14:26,14/12/2015 14:30,4,1,4,5,4.5,4,5,2,1,3,1,0.5,0.5,0,SHARON,KFAR SABA,KFS,0.333333333,0.333333333,0.166666667,0.277777778,0.75,0,24,0.428571429,0.5,0,0.8,EVALUATION_02,TRUST,EVALUATION_01,SATISFACTION,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22,22,14/12/2015 14:25,14/12/2015 14:30,5,1,2,5,3.5,4,2,3,3,3,1,1,0.833333333,1,OTHER,OTHER,OTHER,0.5,0.166666667,0.333333333,0.333333333,0.75,NA,28,1,0,0,0.2,EVALUATION_01,TRUST,SATISFACTION,EVALUATION_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,23,14/12/2015 14:25,14/12/2015 14:31,6,1,3,8,5.5,5,8,3,5,3,1,1,1,1,SHARON,KFAR SABA,KFS,0,0,0,0,0.75,0,45,0.857142857,0.75,1,0.5,TRUST,EVALUATION_02,EVALUATION_01,SATISFACTION,1,1,0,0,0,0,0,0,0,0,0,1,0,0
24,24,14/12/2015 14:26,14/12/2015 14:31,5,0,1,1,1,1,1,3,4,2,1,1,0.833333333,1,SHARON,RAMAT HASHARON,RSR,0.333333333,0.5,0.333333333,0.388888889,1,0,55,0.571428571,0.5,1,0.8,SATISFACTION,EVALUATION_01,EVALUATION_02,TRUST,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,14/12/2015 14:21,14/12/2015 14:31,10,2,1,3,2,2,2,2,2,3,1,1,0.666666667,0,SHARON,RAANANA,RNA,0.333333333,0.333333333,0.5,0.388888889,0,0,42,1,1,1,0.4,EVALUATION_02,TRUST,SATISFACTION,EVALUATION_01,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26,26,14/12/2015 14:24,14/12/2015 14:31,7,0,5,5,5,4,5,2,2,3,1,1,0.666666667,0,SHARON,RAANANA,RNA,0.5,0.333333333,0.5,0.444444444,0,1,49,0.285714286,0.5,1,0.5,EVALUATION_01,EVALUATION_02,TRUST,SATISFACTION,1,1,1,0,0,0,0,0,0,0,0,0,0,0
